address,area,lat,lng,neigh,price,url
"Mill Brook Rd, Margaretville, NY",87120,42.102268,-74.734054,12455,18000.0,https://zillow.com/homedetails/Mill-Brook-Rd-Margaretville-NY-12455/215788161_zpid/
"457 Swart Rd, Margaretville, NY",1224036,42.151385,-74.678458,12455,150000.0,https://zillow.com/homedetails/457-Swart-Rd-Margaretville-NY-12455/30069843_zpid/
"0 W Hubbell Hl, Margaretville, NY",248292,42.171052,-74.617562,12455,22500.0,https://zillow.com/homedetails/0-W-Hubbell-Hl-Margaretville-NY-12455/2089725735_zpid/
"Margaretville Mountain Rd, Margaretville, NY",875556,42.1633,-74.6605,12455,79000.0,https://zillow.com/homedetails/Margaretville-Mountain-Rd-Margaretville-NY-12455/2092839919_zpid/
"Quail Ridge Rd, Margaretville, NY",289674,42.209001,-74.589132,12455,99900.0,https://zillow.com/homedetails/Quail-Ridge-Rd-Margaretville-NY-12455/215785810_zpid/
"W Hubbell Hill Rd, Margaretville, NY",248292,42.1633,-74.6605,12455,22500.0,https://zillow.com/homedetails/W-Hubbell-Hill-Rd-Margaretville-NY-12455/2088822597_zpid/
"0 Mill Brook Rd, Margaretville, NY",87120,42.1629,-74.6599,12455,18000.0,https://zillow.com/homedetails/0-Mill-Brook-Rd-Margaretville-NY-12455/2085979398_zpid/
"0 Margaretville Mountain Rd, Margaretville, NY",710028,42.154333,-74.654491,12455,79000.0,https://zillow.com/homedetails/0-Margaretville-Mountain-Rd-Margaretville-NY-12455/2094108582_zpid/
"1810 Dry Brook Rd, Margaretville, NY",9056124,42.1633,-74.6605,12455,699000.0,https://zillow.com/homedetails/1810-Dry-Brook-Rd-Margaretville-NY-12455/2104635362_zpid/
"Meadow Brook Dr, Margaretville, NY",1089000,42.193242,-74.614503,12455,150000.0,https://zillow.com/homedetails/Meadow-Brook-Dr-Margaretville-NY-12455/215786356_zpid/
"Tbd Hidden Waters Dr, Margaretville, NY",95832,42.1628,-74.66,12455,34900.0,https://zillow.com/homedetails/Tbd-Hidden-Waters-Dr-Margaretville-NY-12455/2089149066_zpid/
"73 Quail Ridge Rd, Margaretville, NY",241322,42.207349,-74.584171,12455,52900.0,https://zillow.com/homedetails/73-Quail-Ridge-Rd-Margaretville-NY-12455/98080491_zpid/
"Mountain Vw, Middletown, NY",253083,42.1628,-74.66,12455,33900.0,https://zillow.com/homedetails/Mountain-Vw-Middletown-NY-12455/2089147744_zpid/
"Herrick Rd, Middletown, NY",87120,42.1636,-74.6602,12455,39000.0,https://zillow.com/homedetails/Herrick-Rd-Middletown-NY-12455/2088822027_zpid/
