,address,area,baths,beds,lat,lng,neigh,price,url,price_sqft
0,"3097 S Lee Hwy, Glasgow, VA",2748,2.0,3,37.702043,-79.469416,24555,425000.0,https://zillow.com/homedetails/3097-S-Lee-Hwy-Glasgow-VA-24555/108046032_zpid/,154.6579330422125
1,"151 Journeys End Ln, Glasgow, VA",2346,2.0,3,37.678085,-79.488496,24555,795000.0,https://zillow.com/homedetails/151-Journeys-End-Ln-Glasgow-VA-24555/2093112307_zpid/,338.87468030690536
2,"568 Hops Hill Rd, Glasgow, VA",2508,2.5,3,37.691973,-79.459039,24555,865000.0,https://zillow.com/homedetails/568-Hops-Hill-Rd-Glasgow-VA-24555/229689810_zpid/,344.896331738437
3,"1131 Fitzlee St, Glasgow, VA",2764,3.0,5,37.630254,-79.456466,24555,,https://zillow.com/homedetails/1131-Fitzlee-St-Glasgow-VA-24555/108039656_zpid/,
4,"4591 Forge Rd, Glasgow, VA",2340,2.0,4,37.6524,-79.489611,24555,214900.0,https://zillow.com/homedetails/4591-Forge-Rd-Glasgow-VA-24555/108039451_zpid/,91.83760683760684
5,"2492 S Lee Hwy, Glasgow, VA",3952,3.0,5,37.718029,-79.471469,24555,349500.0,https://zillow.com/homedetails/2492-S-Lee-Hwy-Glasgow-VA-24555/108045293_zpid/,88.43623481781377
6,"2506 S Lee Hwy, Glasgow, VA",3464,4.0,5,37.716916,-79.472233,24555,325000.0,https://zillow.com/homedetails/2506-S-Lee-Hwy-Glasgow-VA-24555/2143618761_zpid/,93.82217090069284
7,"672 Fox Hunt Rd, Glasgow, VA",2571,2.0,3,37.698752,-79.497758,24555,629000.0,https://zillow.com/homedetails/672-Fox-Hunt-Rd-Glasgow-VA-24555/108046007_zpid/,244.65188642551536
8,"612 Gordon St, Glasgow, VA",735,1.0,2,37.634504,-79.44559,24555,49980.0,https://zillow.com/homedetails/612-Gordon-St-Glasgow-VA-24555/229681038_zpid/,68.0
9,"30 Sandstone Ln, Glasgow, VA",1973,2.0,3,37.725286,-79.464813,24555,389000.0,https://zillow.com/homedetails/30-Sandstone-Ln-Glasgow-VA-24555/108045304_zpid/,197.1616827166751
10,"430 Shawnee St, Glasgow, VA",1152,2.0,2,37.642449,-79.45002,24555,152500.0,https://zillow.com/homedetails/430-Shawnee-St-Glasgow-VA-24555/108039853_zpid/,132.37847222222223
11,"627 Pocahontas St, Glasgow, VA",1762,2.0,3,37.637622,-79.450502,24555,69850.0,https://zillow.com/homedetails/627-Pocahontas-St-Glasgow-VA-24555/108039837_zpid/,39.642451759364356
12,"713 Anderson St, Glasgow, VA",1128,1.0,3,37.634177,-79.448388,24555,95000.0,https://zillow.com/homedetails/713-Anderson-St-Glasgow-VA-24555/108039784_zpid/,84.21985815602837
13,"602 Pocahontas St, Glasgow, VA",1673,2.0,4,37.638756,-79.450018,24555,95000.0,https://zillow.com/homedetails/602-Pocahontas-St-Glasgow-VA-24555/108039897_zpid/,56.784219964136284
14,"909 Mcculloch St, Glasgow, VA",932,1.0,2,37.63315,-79.451519,24555,78000.0,https://zillow.com/homedetails/909-Mcculloch-St-Glasgow-VA-24555/108039769_zpid/,83.69098712446352
15,"193 Clarktown Ln, Glasgow, VA",1188,2.0,3,37.628233,-79.491424,24555,94500.0,https://zillow.com/homedetails/193-Clarktown-Ln-Glasgow-VA-24555/246989082_zpid/,79.54545454545455
16,"62 Country Castle Ln, Glasgow, VA",1652,2.0,3,37.678271,-79.462712,24555,,https://zillow.com/homedetails/62-Country-Castle-Ln-Glasgow-VA-24555/108045993_zpid/,
17,"418 Pocahontas St, Glasgow, VA",884,1.0,3,37.640841,-79.447364,24555,,https://zillow.com/homedetails/418-Pocahontas-St-Glasgow-VA-24555/108039913_zpid/,
18,"113 Pocahontas St, Glasgow, VA",1035,1.0,3,37.644456,-79.441806,24555,,https://zillow.com/homedetails/113-Pocahontas-St-Glasgow-VA-24555/108039961_zpid/,
19,"309 Shawnee St, Glasgow, VA",1086,1.0,3,37.643687,-79.446546,24555,,https://zillow.com/homedetails/309-Shawnee-St-Glasgow-VA-24555/108039868_zpid/,
